Material Name,Product Category,Strength Rating,Weight Capacity (kg),Unit Cost ($),Biodegradability Score,CO2 Emission (kg),Recyclability (%),Fragility Level,Shipping Mode
plastic,home,54.0,10.1,0.43,0.11,6.48,35.9,1.0,Ground
metal,electronics,76.0,11.5,0.8,0.0,13.54,91.8,3.0,Air
plastic,food,55.0,9.8,0.25,0.24,13.05,27.4,1.0,Ground
bamboo,electronics,43.0,6.9,0.27,0.8,0.73,77.5,3.0,Air
paper,food,42.0,7.5,0.17,0.94,1.27,89.3,1.0,Ground
plastic,home,66.0,12.5,0.2,0.16,15.75,28.3,1.0,Ground
glass,cosmetics,76.0,15.0,0.44,0.02,18.98,,2.0,Ground
jute,food,39.0,6.1,0.15,0.86,1.68,65.4,1.0,Ground
metal,food,83.0,12.3,0.54,0.0,16.85,91.3,1.0,Ground
jute,home,45.0,7.3,0.18,0.93,0.95,75.2,1.0,Ground
bamboo,pharmaceuticals,48.0,6.9,0.3,0.75,0.84,66.4,2.0,Ground
plastic,food,79.0,,0.28,0.13,7.13,40.1,1.0,Ground
bagasse,food,33.0,4.7,0.16,0.96,1.07,88.7,1.0,Ground
plastic,pharmaceuticals,78.0,11.8,0.39,0.22,14.64,48.7,2.0,Ground
bagasse,home,35.0,6.4,0.27,0.96,0.65,84.4,1.0,Ground
bamboo,cosmetics,46.0,6.3,0.29,0.83,0.95,75.4,2.0,Ground
plastic,home,53.0,7.6,0.38,0.21,13.93,29.9,1.0,Ground
bagasse,pharmaceuticals,49.0,9.7,0.25,0.91,0.62,87.7,2.0,Ground
bagasse,cosmetics,,6.7,0.27,0.96,0.86,87.3,2.0,Ground
bamboo,home,60.0,8.2,0.21,0.75,,82.5,1.0,Ground
glass,cosmetics,67.0,12.5,0.41,0.03,15.98,93.4,2.0,Ground
paper,pharmaceuticals,30.0,5.3,0.14,0.92,1.3,80.0,,Ground
jute,pharmaceuticals,38.0,5.1,0.18,0.99,1.4,73.5,2.0,Ground
bagasse,cosmetics,44.0,7.8,0.13,0.95,1.04,77.3,2.0,Ground
plastic,food,58.0,,0.19,0.16,12.11,31.4,1.0,Ground
bamboo,home,51.0,8.0,0.27,0.75,1.38,80.5,1.0,Ground
plastic,pharmaceuticals,71.0,11.0,0.42,0.17,15.42,,2.0,Ground
plastic,pharmaceuticals,56.0,8.3,0.36,0.17,7.87,27.9,2.0,Ground
paper,cosmetics,35.0,5.3,0.19,0.99,1.27,90.3,2.0,Ground
plastic,electronics,51.0,8.4,0.29,,10.93,41.7,3.0,Air
paper,electronics,48.0,8.7,0.14,0.86,1.72,80.3,3.0,Air
glass,cosmetics,89.0,12.1,0.49,0.01,10.81,91.4,2.0,Ground
plastic,pharmaceuticals,62.0,11.6,0.24,0.12,17.4,28.4,2.0,Ground
plastic,pharmaceuticals,47.0,6.5,0.21,0.08,8.35,27.4,2.0,Ground
glass,electronics,89.0,12.5,0.43,0.01,17.32,,3.0,Air
paper,electronics,50.0,8.1,0.17,0.9,1.49,80.4,3.0,Air
paper,pharmaceuticals,39.0,6.0,0.22,0.9,1.33,80.0,2.0,Ground
bagasse,home,43.0,6.0,0.27,0.93,0.72,84.5,1.0,Ground
jute,food,42.0,5.8,0.18,0.88,1.57,73.7,1.0,Ground
glass,electronics,92.0,14.1,0.4,0.02,14.02,94.3,3.0,Air
paper,food,48.0,8.4,0.23,0.99,1.36,77.6,1.0,Ground
paper,cosmetics,34.0,4.9,,0.88,1.71,,2.0,Ground
bamboo,cosmetics,59.0,10.0,0.24,0.89,0.83,,2.0,Ground
bagasse,pharmaceuticals,39.0,6.3,0.21,0.95,0.98,89.6,2.0,Ground
paper,pharmaceuticals,53.0,8.5,0.23,0.86,1.61,80.6,2.0,Ground
paper,home,49.0,7.8,0.17,0.89,1.12,87.5,1.0,Ground
jute,home,38.0,5.8,0.18,0.96,1.5,69.0,1.0,Ground
paper,cosmetics,45.0,7.8,0.16,0.97,1.31,87.1,2.0,Ground
glass,food,69.0,13.1,0.43,0.02,21.95,,1.0,Ground
bamboo,cosmetics,41.0,5.8,0.32,0.8,1.25,73.0,2.0,Ground
bagasse,electronics,40.0,6.1,0.17,0.94,0.8,75.0,3.0,Air
bamboo,home,58.0,9.9,0.3,0.77,0.84,,1.0,Ground
bagasse,electronics,42.0,6.2,0.15,0.94,0.68,83.7,3.0,Air
jute,cosmetics,41.0,6.6,0.17,0.98,1.08,71.3,2.0,Ground
paper,home,33.0,6.3,0.23,0.94,1.09,90.3,1.0,Ground
bagasse,pharmaceuticals,34.0,5.7,0.14,0.95,1.0,82.9,2.0,Ground
plastic,pharmaceuticals,68.0,11.5,0.36,0.06,10.17,29.8,2.0,Ground
bamboo,cosmetics,54.0,9.7,0.22,0.81,0.92,69.0,2.0,Ground
plastic,food,62.0,8.3,0.22,0.15,12.92,31.4,1.0,Ground
metal,cosmetics,89.0,16.1,0.76,0.0,23.02,92.2,2.0,Ground
glass,electronics,88.0,11.9,0.39,0.02,13.32,88.4,3.0,Air
bamboo,food,63.0,12.2,0.24,0.83,1.39,73.5,1.0,Ground
plastic,cosmetics,73.0,13.7,0.23,0.1,,37.2,2.0,Ground
jute,food,37.0,5.6,0.26,0.93,,69.2,1.0,Ground
bamboo,food,40.0,6.6,0.23,0.83,1.19,79.6,1.0,Ground
glass,electronics,90.0,13.6,0.4,0.02,13.49,93.1,3.0,Air
paper,home,47.0,7.4,0.12,0.94,1.23,81.4,1.0,Ground
plastic,cosmetics,68.0,11.7,0.3,0.18,14.3,38.5,2.0,Ground
plastic,food,60.0,8.7,0.23,0.21,15.47,30.8,1.0,Ground
glass,food,88.0,12.5,,0.02,13.89,94.9,1.0,Ground
jute,home,37.0,,,0.89,1.08,68.9,1.0,Ground
bamboo,cosmetics,51.0,8.1,0.35,0.89,1.26,65.1,2.0,Ground
glass,pharmaceuticals,74.0,9.9,0.59,0.02,12.6,90.7,2.0,Ground
metal,food,81.0,10.9,0.42,0.0,22.58,94.1,,Ground
jute,pharmaceuticals,44.0,8.5,0.2,0.9,1.54,,2.0,Ground
paper,home,52.0,9.6,0.18,0.99,1.34,83.6,1.0,Ground
glass,food,68.0,11.3,0.32,,9.54,89.0,1.0,Ground
bamboo,pharmaceuticals,50.0,9.1,0.34,0.85,0.75,79.9,2.0,Ground
plastic,electronics,77.0,,0.33,0.16,15.03,41.2,3.0,Air
jute,cosmetics,41.0,5.8,,0.9,1.02,78.4,2.0,Ground
bagasse,pharmaceuticals,44.0,6.1,0.25,0.97,0.61,78.2,2.0,Ground
metal,home,92.0,16.8,0.71,0.0,,90.3,1.0,Ground
bamboo,pharmaceuticals,45.0,8.0,0.22,0.82,1.39,81.8,2.0,Ground
plastic,food,45.0,8.5,0.36,0.2,,33.1,1.0,Ground
jute,home,55.0,9.1,0.26,0.95,1.12,79.5,1.0,Ground
paper,home,46.0,6.3,0.18,0.89,1.19,90.0,1.0,Ground
bamboo,pharmaceuticals,44.0,6.7,0.29,0.76,1.16,72.9,2.0,Ground
paper,food,35.0,5.2,0.15,0.97,,87.0,1.0,Ground
jute,pharmaceuticals,59.0,10.6,0.21,1.0,1.62,67.9,2.0,Ground
paper,electronics,48.0,6.7,0.19,0.88,1.29,84.4,3.0,
plastic,pharmaceuticals,73.0,10.0,0.28,0.13,16.4,37.4,2.0,Ground
paper,pharmaceuticals,43.0,6.1,0.14,0.87,1.27,93.3,2.0,Ground
glass,pharmaceuticals,86.0,17.0,0.41,0.03,18.45,94.5,2.0,Ground
bagasse,home,39.0,7.0,0.15,1.0,0.72,80.3,1.0,Ground
bamboo,food,46.0,6.2,0.33,0.77,0.88,,1.0,Ground
plastic,cosmetics,61.0,9.6,0.2,0.24,14.09,40.4,2.0,Ground
bamboo,home,45.0,6.6,0.29,0.76,1.23,67.5,1.0,Ground
plastic,food,57.0,10.8,,0.07,13.32,26.3,1.0,Ground
glass,pharmaceuticals,84.0,11.4,0.39,0.01,15.06,95.0,2.0,Ground
plastic,food,66.0,9.9,0.33,0.24,,53.1,1.0,Ground
paper,cosmetics,45.0,6.1,0.14,0.9,0.86,82.7,2.0,Ground
plastic,cosmetics,74.0,10.0,0.33,0.19,7.6,39.2,2.0,Ground
paper,cosmetics,32.0,6.0,0.17,0.94,,,2.0,Ground
paper,electronics,54.0,8.4,0.16,0.99,1.09,86.8,3.0,Air
bamboo,food,57.0,9.6,0.27,0.88,1.26,82.8,1.0,Ground
paper,cosmetics,49.0,7.0,0.17,0.95,1.67,,2.0,Ground
plastic,electronics,62.0,9.6,0.21,0.08,16.51,54.7,3.0,Air
glass,cosmetics,94.0,14.4,0.56,0.01,14.03,93.7,2.0,Ground
metal,food,90.0,16.3,0.66,0.0,13.09,89.2,1.0,Ground
paper,cosmetics,33.0,6.0,0.22,0.86,1.55,91.0,2.0,
bagasse,cosmetics,43.0,6.3,0.21,0.9,0.78,78.0,2.0,Ground
paper,cosmetics,39.0,5.9,0.22,0.88,1.47,94.1,2.0,Ground
jute,pharmaceuticals,36.0,6.3,0.28,0.86,1.37,72.8,2.0,Ground
paper,food,52.0,10.1,0.16,0.93,1.19,80.0,1.0,Ground
metal,food,96.0,14.1,0.54,0.0,15.33,90.1,1.0,Ground
jute,electronics,37.0,5.3,0.17,0.99,1.17,65.5,3.0,Air
jute,home,53.0,7.1,0.21,0.98,0.99,61.1,1.0,Ground
jute,pharmaceuticals,40.0,7.8,0.17,0.88,1.56,61.0,2.0,Ground
bamboo,pharmaceuticals,53.0,8.6,0.23,0.88,0.95,83.8,2.0,Ground
glass,food,75.0,12.2,0.46,0.01,,88.9,1.0,Ground
bamboo,cosmetics,52.0,8.8,0.25,0.81,1.31,73.6,2.0,Ground
plastic,cosmetics,76.0,13.1,0.38,0.13,10.08,51.5,2.0,Ground
plastic,cosmetics,54.0,10.1,0.41,0.25,,49.4,,Ground
bamboo,cosmetics,59.0,11.6,0.3,0.89,1.34,73.5,2.0,Ground
jute,pharmaceuticals,43.0,6.9,0.21,0.86,1.59,74.7,2.0,Ground
plastic,cosmetics,77.0,10.6,0.2,0.1,15.59,45.3,2.0,Ground
bagasse,home,32.0,5.3,0.22,0.99,0.88,85.9,1.0,Ground
paper,food,46.0,7.1,0.22,0.94,1.06,76.8,1.0,Ground
glass,cosmetics,69.0,13.7,0.54,0.03,17.72,89.7,2.0,Ground
paper,cosmetics,33.0,4.6,0.23,0.89,0.94,83.1,2.0,Ground
plastic,home,56.0,7.9,0.45,0.24,15.34,32.0,1.0,Ground
bagasse,electronics,36.0,6.5,0.23,,0.67,84.4,3.0,Air
jute,food,48.0,7.5,0.15,0.96,1.55,75.7,1.0,Ground
jute,cosmetics,54.0,9.8,0.27,0.95,1.24,72.9,2.0,Ground
jute,home,38.0,5.9,0.3,0.95,1.44,79.0,1.0,Ground
glass,pharmaceuticals,69.0,9.3,0.53,0.01,9.16,90.0,2.0,Ground
paper,cosmetics,34.0,6.3,0.15,0.97,1.15,78.0,2.0,Ground
plastic,electronics,61.0,12.2,0.19,0.19,12.87,38.5,3.0,Air
bagasse,food,35.0,5.1,0.18,0.93,0.68,85.6,1.0,Ground
jute,food,37.0,5.2,0.29,0.99,,,1.0,Ground
paper,home,53.0,7.6,0.2,0.92,1.65,85.3,1.0,Ground
plastic,food,77.0,12.0,0.21,0.18,13.15,42.8,1.0,Ground
metal,food,96.0,16.7,0.76,0.0,24.4,91.5,1.0,Ground
metal,pharmaceuticals,96.0,16.0,0.41,0.0,13.23,94.0,2.0,Ground
bagasse,cosmetics,31.0,5.7,0.22,0.96,0.64,83.5,2.0,Ground
jute,food,54.0,8.3,0.18,0.97,0.99,68.4,1.0,Ground
jute,home,50.0,7.7,0.21,0.99,1.28,64.2,1.0,Ground
plastic,food,47.0,7.4,0.31,0.19,15.57,33.8,1.0,Ground
metal,electronics,91.0,13.1,0.41,0.0,15.05,97.9,3.0,Air
metal,food,97.0,17.6,0.59,0.0,17.19,90.8,1.0,Ground
bagasse,food,41.0,6.9,,0.9,,75.2,1.0,Ground
plastic,food,52.0,7.7,0.21,0.19,17.66,30.5,1.0,Ground
plastic,food,66.0,9.9,0.28,0.09,13.38,47.3,1.0,Ground
bagasse,food,38.0,5.3,0.17,0.98,0.99,87.3,1.0,Ground
jute,home,44.0,8.7,0.18,0.88,1.49,60.6,1.0,Ground
jute,cosmetics,38.0,6.1,0.17,0.99,1.63,69.0,2.0,Ground
bamboo,home,42.0,7.2,0.27,0.89,1.35,84.2,1.0,Ground
jute,cosmetics,41.0,7.4,0.22,0.97,1.47,69.7,2.0,Ground
paper,electronics,41.0,5.6,0.16,0.95,1.42,76.9,3.0,Air
jute,home,49.0,8.0,0.27,0.89,0.94,70.0,1.0,Ground
bamboo,cosmetics,48.0,8.2,0.29,0.82,1.36,68.0,2.0,Ground
bamboo,home,46.0,9.1,0.21,0.85,,73.2,1.0,Ground
jute,home,44.0,7.4,0.29,0.91,1.7,66.0,1.0,Ground
plastic,cosmetics,74.0,10.2,0.4,0.23,7.93,27.9,2.0,Ground
bagasse,food,36.0,6.8,0.25,0.94,0.62,80.4,1.0,Ground
jute,pharmaceuticals,58.0,8.1,0.26,,0.98,72.4,2.0,Ground
metal,food,91.0,17.5,0.57,0.0,17.85,95.4,1.0,Ground
bagasse,home,44.0,6.7,0.15,0.99,0.94,82.8,1.0,Ground
bagasse,electronics,44.0,8.3,0.15,0.95,0.88,89.9,3.0,Air
bagasse,food,36.0,4.9,0.24,0.99,1.07,82.6,1.0,Ground
bagasse,pharmaceuticals,46.0,6.7,0.21,0.96,0.79,,2.0,Ground
jute,pharmaceuticals,45.0,8.4,0.24,0.87,1.33,73.8,2.0,Ground
bamboo,home,61.0,12.1,0.33,0.78,0.8,73.0,1.0,Ground
bamboo,food,61.0,11.0,0.21,0.76,,74.8,1.0,Ground
jute,food,55.0,7.6,0.21,0.97,1.0,,1.0,Ground
bamboo,pharmaceuticals,63.0,9.0,0.34,,1.26,73.3,2.0,Ground
bamboo,electronics,55.0,8.3,0.23,0.75,0.83,74.2,3.0,Air
jute,cosmetics,47.0,8.0,0.22,0.93,0.91,76.7,2.0,Ground
glass,electronics,93.0,15.0,0.44,0.03,21.59,85.9,3.0,Air
bamboo,cosmetics,52.0,7.9,0.25,0.88,1.13,65.7,2.0,Ground
plastic,home,,,0.2,0.22,13.3,39.8,1.0,Ground
plastic,pharmaceuticals,54.0,9.8,0.34,0.24,11.97,41.1,2.0,Ground
plastic,home,78.0,15.3,0.32,0.15,6.82,27.3,1.0,Ground
bagasse,food,38.0,6.7,0.14,0.91,0.88,77.9,1.0,Ground
jute,cosmetics,39.0,6.1,0.25,0.92,1.21,74.0,2.0,Ground
glass,pharmaceuticals,77.0,10.8,0.49,0.03,19.26,87.8,2.0,Ground
plastic,home,56.0,10.4,0.42,0.08,12.83,43.8,1.0,Ground
paper,food,34.0,5.4,0.21,0.92,,90.2,1.0,Ground
bamboo,cosmetics,58.0,8.0,0.35,0.82,1.36,83.7,2.0,Ground
paper,electronics,41.0,5.5,0.15,0.95,1.7,85.7,3.0,Air
plastic,pharmaceuticals,72.0,11.6,,0.14,7.09,50.7,2.0,Ground
bamboo,home,40.0,6.3,0.31,0.8,0.8,80.5,1.0,Ground
metal,pharmaceuticals,85.0,14.7,0.48,0.0,12.67,94.9,2.0,Ground
glass,pharmaceuticals,84.0,12.8,0.6,0.01,19.78,88.8,2.0,Ground
plastic,electronics,72.0,10.6,0.39,0.2,17.07,36.5,3.0,
paper,cosmetics,45.0,7.4,0.22,0.92,1.74,89.7,2.0,Ground
bagasse,food,37.0,5.9,0.21,0.98,1.15,85.3,1.0,Ground
jute,food,58.0,8.5,0.16,0.99,0.94,60.3,1.0,Ground
glass,home,76.0,11.8,0.44,0.01,12.71,,1.0,Ground
paper,home,35.0,5.1,0.2,0.98,1.62,91.5,1.0,Ground
plastic,electronics,77.0,12.5,0.4,0.12,15.99,,3.0,Air
plastic,home,55.0,9.0,0.4,0.17,17.27,32.0,1.0,Ground
glass,electronics,79.0,12.7,0.47,0.01,16.23,,3.0,Air
plastic,electronics,73.0,,0.19,0.15,,38.4,3.0,Air
paper,electronics,35.0,4.9,0.13,0.87,1.01,92.5,3.0,Air
bamboo,electronics,56.0,10.7,0.32,0.88,1.19,69.3,3.0,Air
bamboo,food,44.0,6.2,0.33,0.84,1.35,80.6,1.0,Ground
plastic,food,55.0,9.5,0.27,0.23,14.31,41.4,1.0,Ground
paper,home,42.0,8.0,0.19,0.92,1.16,83.8,1.0,Ground
paper,food,50.0,8.0,0.22,0.86,0.83,81.5,1.0,Ground
paper,pharmaceuticals,50.0,7.0,0.22,0.99,1.1,88.2,2.0,Ground
paper,food,52.0,,0.25,0.88,1.69,93.8,1.0,Ground
jute,cosmetics,46.0,9.1,0.15,0.94,1.32,73.4,2.0,Ground
plastic,home,64.0,8.9,0.42,0.15,17.54,40.5,1.0,Ground
jute,cosmetics,41.0,7.9,,0.94,1.13,69.4,2.0,Ground
bamboo,pharmaceuticals,49.0,6.8,0.32,0.85,1.12,82.1,2.0,Ground
glass,home,92.0,14.3,0.56,0.01,14.28,86.1,1.0,Ground
glass,home,68.0,10.9,0.54,0.0,19.65,89.9,1.0,Ground
metal,cosmetics,,12.1,0.57,0.0,23.14,90.4,2.0,Ground
paper,electronics,54.0,,0.16,1.0,0.96,85.9,3.0,Air
bagasse,cosmetics,31.0,5.0,0.27,0.93,0.6,89.1,2.0,Ground
paper,electronics,35.0,6.1,0.14,0.86,0.81,86.3,3.0,Air
bamboo,food,57.0,8.4,0.31,0.86,0.93,65.6,1.0,Ground
paper,cosmetics,48.0,,0.2,0.87,0.87,94.5,2.0,
bagasse,home,32.0,6.2,0.22,0.93,0.99,83.9,1.0,Ground
glass,home,69.0,11.1,0.51,0.02,10.09,93.6,1.0,Ground
paper,food,46.0,6.9,0.13,0.91,1.63,93.2,1.0,Ground
bamboo,pharmaceuticals,49.0,7.4,0.28,0.79,0.96,70.0,2.0,Ground
jute,pharmaceuticals,48.0,6.7,0.24,0.91,1.33,61.5,2.0,Ground
paper,food,42.0,6.6,0.23,0.93,0.84,80.1,1.0,Ground
metal,pharmaceuticals,77.0,11.1,0.41,0.0,17.66,,2.0,Ground
bagasse,pharmaceuticals,30.0,5.2,0.18,0.97,0.88,84.4,2.0,
bamboo,home,44.0,7.8,0.32,0.81,0.97,77.3,1.0,Ground
plastic,pharmaceuticals,58.0,10.3,0.34,0.07,16.43,49.1,2.0,Ground
plastic,pharmaceuticals,79.0,10.6,0.2,0.17,8.32,28.2,2.0,Ground
plastic,home,49.0,6.6,0.31,0.24,15.89,41.4,1.0,Ground
paper,food,30.0,4.2,0.15,0.9,,77.9,1.0,Ground
paper,home,36.0,6.4,0.21,0.86,0.9,84.5,1.0,Ground
bagasse,electronics,43.0,8.2,0.15,0.99,0.88,86.7,3.0,Air
bamboo,cosmetics,55.0,10.5,0.32,0.85,1.02,71.9,2.0,Ground
glass,cosmetics,72.0,,0.41,0.02,12.21,,2.0,Ground
jute,cosmetics,55.0,9.3,0.24,0.99,1.21,68.8,2.0,Ground
paper,home,50.0,9.0,0.22,0.9,1.24,80.5,1.0,Ground
paper,food,40.0,5.4,0.13,0.87,1.07,76.1,1.0,Ground
plastic,cosmetics,55.0,9.3,0.27,0.1,14.14,52.1,2.0,Ground
paper,electronics,34.0,4.6,0.23,0.87,1.33,82.1,3.0,Air
paper,cosmetics,37.0,5.4,0.14,0.91,0.91,84.0,2.0,Ground
paper,home,52.0,10.0,0.16,0.94,0.91,91.1,1.0,Ground
jute,electronics,49.0,8.1,0.2,0.95,1.18,66.6,3.0,Air
plastic,electronics,62.0,9.9,0.22,0.07,9.34,27.1,3.0,Air
plastic,pharmaceuticals,60.0,8.6,0.29,0.21,16.47,49.4,2.0,Ground
jute,pharmaceuticals,50.0,9.4,0.21,1.0,1.28,75.5,2.0,Ground
glass,cosmetics,92.0,18.2,0.32,0.01,13.7,87.6,2.0,Ground
glass,cosmetics,89.0,14.6,0.51,0.01,,88.2,2.0,Ground
paper,food,45.0,8.9,0.24,0.97,1.16,94.8,1.0,Ground
plastic,cosmetics,62.0,8.9,0.41,0.15,9.98,31.8,2.0,Ground
bagasse,food,33.0,4.9,0.23,0.97,,81.4,1.0,Ground
plastic,pharmaceuticals,75.0,13.3,0.32,0.11,8.29,49.8,2.0,Ground
plastic,electronics,58.0,8.8,0.23,0.17,14.48,49.3,3.0,Air
paper,pharmaceuticals,53.0,,0.19,0.99,1.57,91.1,2.0,Ground
paper,electronics,47.0,8.4,0.24,0.86,1.56,91.6,3.0,Air
glass,cosmetics,92.0,14.4,0.52,0.01,12.65,88.2,2.0,Ground
paper,electronics,35.0,5.2,0.14,0.92,0.91,78.0,3.0,Air
jute,cosmetics,55.0,,0.29,0.97,1.33,64.4,2.0,Ground
bagasse,home,39.0,6.6,0.27,0.93,0.88,83.3,1.0,Ground
bamboo,food,40.0,6.9,0.24,0.81,0.76,72.7,1.0,Ground
jute,home,58.0,8.1,0.24,,1.05,69.2,1.0,Ground
plastic,cosmetics,57.0,9.9,0.25,0.23,12.75,43.7,2.0,Ground
plastic,electronics,79.0,13.6,0.35,0.12,15.41,37.5,3.0,Air
jute,pharmaceuticals,52.0,7.6,0.27,0.94,1.61,74.1,2.0,Ground
plastic,electronics,63.0,10.0,0.33,0.21,15.69,42.2,3.0,Air
bagasse,food,49.0,6.9,0.2,0.98,0.76,75.8,1.0,Ground
bagasse,food,36.0,7.1,0.25,0.97,1.06,76.1,1.0,Ground
bagasse,electronics,33.0,,0.25,0.9,0.71,,3.0,Air
plastic,pharmaceuticals,73.0,13.7,0.43,0.22,11.37,38.8,2.0,Ground
bamboo,cosmetics,44.0,8.2,0.22,0.86,0.8,80.5,2.0,Ground
bagasse,electronics,33.0,4.6,0.17,0.91,0.71,87.1,3.0,Air
jute,food,51.0,7.2,0.16,0.96,0.92,66.7,1.0,Ground
paper,cosmetics,31.0,4.8,0.17,0.95,1.4,93.6,2.0,Ground
bagasse,food,42.0,6.2,0.21,0.98,0.63,84.5,1.0,Ground
paper,pharmaceuticals,51.0,9.9,0.13,0.99,1.16,85.6,2.0,Ground
paper,pharmaceuticals,37.0,5.8,0.15,0.9,1.67,90.0,2.0,Ground
bamboo,home,40.0,7.1,0.24,0.84,1.39,79.9,1.0,Ground
glass,pharmaceuticals,94.0,14.0,0.49,0.02,9.34,93.4,2.0,Ground
glass,pharmaceuticals,94.0,17.2,0.41,0.02,12.69,91.5,2.0,Ground
bagasse,electronics,35.0,4.8,0.24,0.93,0.7,84.0,3.0,Air
glass,cosmetics,79.0,,,0.01,12.11,91.1,2.0,Ground
plastic,home,73.0,12.4,0.42,0.08,17.95,48.5,1.0,Ground
jute,cosmetics,,6.6,0.23,0.99,1.12,66.7,2.0,Ground
glass,food,66.0,9.8,0.32,0.0,18.49,94.3,1.0,Ground
glass,food,82.0,12.8,0.57,0.0,12.79,94.4,1.0,Ground
bamboo,home,63.0,10.5,0.21,0.86,1.14,72.5,1.0,Ground
bagasse,cosmetics,49.0,7.7,0.27,1.0,1.19,86.0,2.0,Ground
jute,pharmaceuticals,44.0,6.3,0.22,0.92,1.41,75.7,2.0,Ground
plastic,cosmetics,45.0,8.8,0.44,0.21,12.41,40.5,2.0,Ground
bamboo,electronics,61.0,10.9,0.34,0.8,1.34,68.8,3.0,Air
glass,electronics,77.0,11.7,0.59,0.03,19.56,89.9,3.0,Air
bamboo,food,56.0,7.9,0.2,0.84,0.88,76.1,1.0,Ground
jute,home,38.0,7.4,0.25,0.94,1.48,63.6,1.0,Ground
bamboo,cosmetics,58.0,11.1,0.35,0.87,1.07,81.1,2.0,Ground
paper,home,44.0,6.1,0.23,0.98,1.64,85.5,1.0,Ground
paper,cosmetics,35.0,7.0,0.24,0.92,1.72,,2.0,Ground
plastic,electronics,47.0,7.5,0.35,0.21,6.36,39.8,3.0,Air
jute,cosmetics,,8.4,0.24,1.0,1.24,72.8,2.0,Ground
bamboo,electronics,41.0,6.1,0.27,,1.19,79.8,3.0,Air
bagasse,pharmaceuticals,47.0,,0.21,0.94,0.71,78.6,2.0,Ground
bamboo,pharmaceuticals,50.0,6.7,0.24,0.75,0.96,65.5,2.0,Ground
plastic,cosmetics,56.0,9.0,0.43,0.12,14.8,54.4,2.0,Ground
bagasse,pharmaceuticals,32.0,,0.14,0.93,1.05,84.4,2.0,Ground
paper,pharmaceuticals,51.0,9.5,0.12,0.93,0.86,88.4,2.0,Ground
paper,electronics,36.0,5.7,0.22,0.98,0.88,94.2,3.0,Air
bamboo,electronics,61.0,,0.24,0.88,0.88,77.9,3.0,Air
paper,cosmetics,47.0,6.8,0.14,0.95,1.69,93.2,2.0,Ground
plastic,pharmaceuticals,63.0,9.5,0.27,0.08,,32.0,2.0,Ground
jute,electronics,40.0,5.8,0.3,0.95,1.48,78.1,3.0,Air
plastic,food,55.0,10.4,0.18,0.15,12.66,40.2,1.0,Ground
paper,home,34.0,,0.17,0.95,1.43,84.4,1.0,Ground
bamboo,cosmetics,40.0,5.3,0.25,0.8,1.1,67.3,2.0,Ground
bagasse,cosmetics,47.0,6.6,0.2,1.0,1.09,83.3,2.0,Ground
jute,cosmetics,48.0,6.7,0.22,0.97,0.99,68.3,2.0,Ground
jute,electronics,54.0,8.3,0.28,0.95,1.5,70.1,3.0,Air
paper,cosmetics,36.0,5.2,0.18,0.85,,83.0,2.0,Ground
glass,food,87.0,15.3,0.56,0.01,15.95,90.4,1.0,Ground
jute,food,49.0,7.7,0.16,0.98,0.97,73.9,1.0,Ground
plastic,home,64.0,11.6,0.21,0.08,15.22,42.7,1.0,
glass,cosmetics,94.0,16.6,0.38,0.01,11.39,91.4,2.0,Ground
paper,home,31.0,4.4,0.21,0.92,1.55,93.9,1.0,Ground
plastic,electronics,53.0,9.5,0.42,0.12,10.37,43.6,3.0,Air
paper,cosmetics,40.0,6.9,0.18,0.99,0.86,83.0,2.0,Ground
bamboo,food,53.0,7.2,0.21,0.82,1.29,75.0,1.0,Ground
plastic,electronics,52.0,7.2,0.38,0.06,10.64,,3.0,Air
paper,electronics,40.0,6.8,,0.95,,82.8,3.0,Air
glass,cosmetics,88.0,14.9,0.47,0.03,12.02,91.0,2.0,Ground
plastic,food,49.0,6.6,0.34,0.16,9.68,35.8,1.0,
jute,cosmetics,56.0,8.3,0.26,0.98,1.19,77.3,2.0,Ground
bagasse,home,42.0,6.9,0.2,0.99,0.85,82.5,1.0,Ground
plastic,pharmaceuticals,53.0,9.2,0.36,0.13,7.88,31.5,2.0,Ground
bamboo,cosmetics,49.0,8.8,0.23,0.79,1.34,79.4,2.0,Ground
metal,home,79.0,11.0,0.43,0.0,21.91,,1.0,Ground
bamboo,pharmaceuticals,51.0,7.2,,0.87,1.19,67.1,2.0,Ground
plastic,pharmaceuticals,78.0,12.2,0.41,0.23,12.99,42.1,2.0,Ground
jute,food,54.0,7.5,0.21,0.85,1.67,69.8,1.0,Ground
jute,cosmetics,58.0,8.0,0.27,0.95,0.95,61.8,,Ground
bamboo,cosmetics,64.0,9.8,0.28,0.75,0.77,80.4,2.0,Ground
plastic,home,54.0,8.9,0.19,,13.12,40.3,1.0,Ground
paper,cosmetics,35.0,6.2,0.17,0.99,0.95,94.1,2.0,
plastic,pharmaceuticals,45.0,7.4,0.21,0.14,13.09,47.9,2.0,Ground
paper,home,37.0,7.3,0.19,0.99,1.4,86.6,1.0,Ground
bamboo,cosmetics,49.0,9.5,0.35,0.88,1.18,76.2,2.0,Ground
jute,pharmaceuticals,56.0,10.9,0.22,0.89,0.98,66.5,2.0,Ground
bamboo,cosmetics,56.0,10.9,0.33,0.82,1.29,70.8,2.0,Ground
jute,home,35.0,5.0,0.26,0.99,1.4,64.3,1.0,Ground
paper,home,46.0,8.0,0.12,,1.11,94.3,1.0,Ground
