Material Name ,ProductCategory,Strength_Value,WtCapacity,Unit Cost($),Bio Score,CO2Emission,Recycle %,FragileLevel,Ship-Type
jute,,87.0,7.0,0.24,,7.66,98.0,2,
plastic,food,51.0,21.0,0.62,0.66,15.07,91.8,3,Air
bamboo,food,99.0,18.0,0.58,0.39,1.17,71.7,3,Air
bagasse,,65.0,10.0,,0.74,2.09,42.6,2,
plastic,food,74.0,12.0,,0.9,18.48,19.0,,Air
bamboo,home,,9.0,0.55,0.93,8.39,22.1,1,
bamboo,home,51.0,12.0,,0.38,9.0,44.3,2,
jute,food,90.0,6.0,0.17,0.17,5.61,76.8,,
metal,electronics,85.0,19.0,0.32,0.91,11.42,26.5,,
paper,food,62.0,16.0,0.53,0.09,1.77,31.1,1,
metal,food,74.0,21.0,0.77,0.72,7.86,60.0,,Air
paper,food,65.0,5.0,0.17,0.14,,23.8,3,Air
glass,,49.0,19.0,0.12,0.39,11.91,58.4,,Ground
jute,home,47.0,18.0,0.14,0.41,24.99,38.7,3,Air
bamboo,pharmaceuticals,67.0,24.0,0.14,0.16,10.02,3.4,3,
bagasse,pharmaceuticals,96.0,20.0,0.74,0.92,9.98,40.3,3,Ground
paper,cosmetics,52.0,13.0,0.6,0.0,12.84,92.0,,Air
metal,food,45.0,5.0,0.57,0.89,5.16,29.3,,Air
bamboo,cosmetics,88.0,21.0,0.47,0.88,21.97,32.3,2,
paper,cosmetics,98.0,17.0,0.65,0.32,14.52,6.6,3,Ground
paper,electronics,97.0,9.0,0.21,0.7,5.21,61.5,2,Ground
paper,home,50.0,14.0,0.37,0.25,,84.9,2,Air
bagasse,pharmaceuticals,99.0,10.0,0.44,,1.34,35.3,3,Air
jute,food,41.0,23.0,0.18,0.56,24.57,24.0,,Air
bagasse,pharmaceuticals,45.0,17.0,0.39,0.3,21.7,95.7,3,Air
plastic,pharmaceuticals,43.0,5.0,0.32,0.4,14.7,74.5,,Air
bamboo,,90.0,24.0,0.12,0.69,3.23,56.7,1,Air
jute,pharmaceuticals,75.0,,0.2,0.91,5.77,30.6,3,Air
jute,pharmaceuticals,61.0,18.0,0.63,0.13,7.35,22.1,1,Ground
jute,cosmetics,44.0,12.0,0.11,0.57,6.41,71.6,1,Ground
metal,home,73.0,14.0,0.75,0.25,,52.2,1,
jute,electronics,46.0,13.0,0.16,0.8,,52.1,3,Ground
bagasse,food,70.0,,0.66,0.07,11.38,7.4,,Ground
jute,pharmaceuticals,83.0,13.0,0.73,0.69,16.71,51.2,,Ground
glass,food,73.0,7.0,0.76,0.17,,82.3,1,
bamboo,electronics,34.0,,0.71,0.6,21.85,94.7,,Air
jute,food,56.0,16.0,0.3,,1.33,10.7,2,Air
bamboo,electronics,72.0,14.0,0.33,0.76,10.41,63.1,1,Air
glass,cosmetics,60.0,21.0,0.4,0.75,19.73,56.8,2,Air
glass,pharmaceuticals,,21.0,0.2,0.52,,89.0,3,Ground
bamboo,electronics,83.0,15.0,0.12,0.89,23.22,75.1,,Ground
paper,food,91.0,8.0,0.71,0.59,17.72,96.5,2,Air
plastic,pharmaceuticals,61.0,11.0,0.49,0.92,6.51,96.0,1,Ground
metal,cosmetics,69.0,18.0,,,12.89,22.6,3,Ground
paper,pharmaceuticals,42.0,11.0,0.75,0.51,1.29,72.5,3,Air
paper,electronics,64.0,12.0,0.57,,16.35,53.1,3,
bagasse,cosmetics,34.0,5.0,0.58,,14.08,21.5,1,Air
metal,food,58.0,8.0,0.65,0.14,16.84,,2,
metal,cosmetics,99.0,16.0,0.18,0.87,23.29,8.1,,Air
paper,cosmetics,54.0,7.0,0.35,0.68,17.34,79.6,1,Air
jute,home,51.0,17.0,0.78,0.99,8.35,,3,Ground
bagasse,cosmetics,95.0,24.0,0.75,0.09,5.37,85.7,1,
bagasse,cosmetics,74.0,10.0,0.72,0.24,21.44,60.8,2,Air
glass,,98.0,15.0,0.42,0.88,5.26,67.4,3,Ground
metal,food,30.0,8.0,0.7,0.4,,29.2,2,Ground
paper,pharmaceuticals,73.0,24.0,0.13,0.47,5.56,45.7,3,Air
glass,pharmaceuticals,68.0,20.0,0.2,0.86,12.97,41.2,2,Ground
bamboo,electronics,83.0,11.0,0.39,,3.54,,,Ground
plastic,pharmaceuticals,58.0,15.0,,0.19,23.48,83.3,2,
bagasse,home,83.0,5.0,0.28,0.89,24.17,62.2,1,Ground
bamboo,home,45.0,11.0,0.35,0.03,24.36,3.7,2,
bamboo,electronics,49.0,16.0,0.21,0.9,1.46,82.0,3,Ground
jute,food,,11.0,0.44,0.05,23.68,10.6,3,
plastic,food,96.0,11.0,0.66,0.67,24.94,40.4,2,
bamboo,pharmaceuticals,94.0,14.0,0.56,0.07,23.59,57.1,2,Air
bamboo,pharmaceuticals,87.0,20.0,0.18,0.71,16.94,0.8,3,Ground
plastic,pharmaceuticals,82.0,12.0,0.44,0.03,17.68,65.3,3,
plastic,food,,13.0,0.59,0.84,3.5,66.0,3,Air
bamboo,cosmetics,95.0,13.0,0.47,0.47,21.92,,3,Air
plastic,home,58.0,6.0,0.37,0.09,1.96,16.3,2,Ground
bamboo,cosmetics,99.0,17.0,0.54,,8.28,25.6,1,Air
bamboo,cosmetics,37.0,17.0,0.78,0.49,24.78,24.7,1,Air
jute,food,58.0,8.0,0.17,0.19,10.85,96.0,,Ground
paper,cosmetics,,16.0,0.37,,3.71,6.8,1,
bamboo,electronics,62.0,21.0,0.38,0.42,24.25,42.9,2,Ground
glass,pharmaceuticals,32.0,6.0,0.5,0.09,24.61,87.1,,Ground
bagasse,electronics,89.0,17.0,0.21,0.09,,76.9,1,Air
metal,home,64.0,22.0,0.22,0.27,21.69,82.2,3,Ground
paper,pharmaceuticals,,,0.3,0.63,10.07,97.2,3,Air
paper,,49.0,12.0,0.77,0.53,9.84,38.7,,
paper,home,68.0,19.0,0.61,0.07,6.94,,,Ground
jute,pharmaceuticals,33.0,5.0,0.56,0.97,,3.1,2,Ground
bamboo,cosmetics,48.0,24.0,0.67,0.89,7.07,15.0,,Ground
jute,electronics,74.0,14.0,0.19,0.26,1.82,56.2,1,Air
bamboo,pharmaceuticals,72.0,16.0,0.7,0.12,23.15,15.8,2,
jute,cosmetics,42.0,9.0,,0.94,16.71,73.6,3,Air
jute,,,13.0,0.33,0.46,,3.7,1,Air
bagasse,home,89.0,12.0,0.67,0.31,18.07,25.9,,Air
glass,,86.0,20.0,0.66,0.49,3.72,69.5,3,Ground
jute,home,81.0,,0.69,0.77,23.54,,1,
bagasse,home,82.0,17.0,0.18,0.17,22.55,72.9,1,Air
plastic,food,72.0,17.0,0.78,0.77,9.03,99.6,1,Air
glass,pharmaceuticals,71.0,9.0,0.77,0.75,3.23,79.7,1,
jute,pharmaceuticals,55.0,20.0,0.35,0.54,17.75,34.2,3,Air
metal,food,52.0,15.0,0.15,,18.34,90.1,1,
paper,cosmetics,72.0,9.0,0.22,0.13,,5.1,2,Ground
plastic,cosmetics,57.0,17.0,0.79,0.6,1.79,72.5,,Ground
plastic,home,,15.0,0.49,0.45,3.97,2.3,2,Ground
bagasse,electronics,49.0,23.0,0.35,0.42,15.16,17.5,1,Air
plastic,cosmetics,85.0,7.0,0.3,0.25,15.67,98.8,,
glass,electronics,68.0,19.0,0.28,0.37,1.32,36.1,,
jute,pharmaceuticals,80.0,11.0,,0.11,10.22,82.0,,Air
jute,electronics,41.0,11.0,0.39,0.25,14.81,37.6,3,Air
metal,pharmaceuticals,84.0,10.0,0.78,0.27,18.58,84.0,3,
paper,food,40.0,7.0,0.58,0.72,8.25,96.5,3,Ground
bagasse,food,,17.0,0.65,,12.36,43.6,2,Air
paper,home,71.0,11.0,0.3,0.65,20.44,55.9,3,Ground
plastic,cosmetics,56.0,9.0,0.16,0.22,23.87,62.9,3,
metal,home,40.0,22.0,0.44,0.08,6.14,93.5,2,
paper,pharmaceuticals,67.0,12.0,0.32,0.3,6.7,25.7,2,Air
glass,home,72.0,21.0,,0.22,23.53,61.1,3,Ground
jute,electronics,48.0,24.0,0.77,0.55,10.2,32.5,2,Ground
plastic,pharmaceuticals,93.0,5.0,0.41,0.36,18.1,21.7,,Air
metal,food,35.0,18.0,0.22,0.97,15.5,8.5,3,Ground
paper,cosmetics,75.0,21.0,,0.96,7.5,,2,Air
bagasse,,71.0,14.0,0.3,0.44,16.51,88.2,1,Ground
glass,pharmaceuticals,94.0,16.0,0.8,0.8,16.56,35.1,1,Ground
glass,electronics,88.0,20.0,0.29,0.01,15.01,55.3,2,Ground
paper,cosmetics,81.0,,0.33,0.55,2.94,64.2,2,Air
jute,food,76.0,20.0,0.56,0.74,24.88,41.5,3,
paper,pharmaceuticals,36.0,12.0,0.31,0.22,10.31,90.3,3,Air
plastic,pharmaceuticals,40.0,14.0,0.25,0.06,16.14,36.3,3,Ground
paper,electronics,90.0,21.0,0.21,0.16,22.2,12.5,3,
glass,home,97.0,22.0,0.32,0.44,,14.4,1,
metal,food,54.0,24.0,0.17,0.51,19.46,89.1,3,Ground
paper,cosmetics,41.0,20.0,0.11,0.38,24.31,98.8,1,Air
jute,pharmaceuticals,55.0,21.0,0.66,0.44,9.29,28.9,2,Ground
metal,pharmaceuticals,41.0,20.0,0.2,0.47,10.43,14.4,1,Air
bagasse,food,72.0,23.0,0.64,0.77,22.69,,2,Air
bamboo,home,80.0,12.0,0.66,0.11,4.41,71.0,2,
paper,pharmaceuticals,66.0,10.0,0.48,0.77,1.2,61.2,1,
jute,food,75.0,10.0,0.32,0.69,22.77,95.1,2,Air
metal,electronics,82.0,13.0,0.2,0.74,20.63,81.8,,Ground
jute,home,42.0,8.0,0.62,0.73,24.33,86.9,1,Air
bagasse,cosmetics,83.0,16.0,,0.47,1.93,54.2,3,Air
glass,pharmaceuticals,86.0,16.0,0.56,0.21,4.33,32.7,2,Air
,food,33.0,21.0,0.11,0.54,3.08,70.2,2,Ground
metal,electronics,78.0,19.0,0.75,0.96,17.24,43.9,1,Ground
jute,cosmetics,36.0,13.0,0.15,0.59,15.35,28.8,1,Ground
jute,food,40.0,11.0,0.36,0.01,9.3,15.2,3,Air
jute,food,83.0,14.0,0.38,0.06,,52.8,1,Ground
plastic,cosmetics,,,0.1,0.99,16.17,59.4,1,Air
plastic,electronics,,16.0,0.45,0.07,14.47,56.9,2,Ground
glass,electronics,57.0,11.0,0.63,0.05,3.27,11.7,,Ground
paper,home,86.0,22.0,0.68,0.35,22.77,57.0,3,Ground
jute,pharmaceuticals,55.0,19.0,0.72,0.97,5.37,16.8,2,Ground
bagasse,cosmetics,54.0,10.0,0.44,,18.72,66.4,2,
,cosmetics,83.0,16.0,0.54,0.41,22.18,42.9,2,Ground
,,58.0,15.0,0.16,0.63,14.7,84.9,1,Ground
paper,electronics,65.0,24.0,,0.02,6.55,77.8,2,Ground
glass,pharmaceuticals,43.0,7.0,0.21,0.9,8.08,72.4,2,Air
jute,home,64.0,6.0,,0.52,,,,Ground
jute,food,59.0,10.0,0.33,0.47,7.81,56.0,,Ground
bamboo,food,46.0,9.0,0.4,,18.78,,3,Air
bagasse,cosmetics,96.0,22.0,0.5,0.95,24.76,65.5,1,Air
paper,pharmaceuticals,59.0,20.0,0.73,0.42,25.0,46.7,1,
paper,electronics,74.0,12.0,0.38,0.17,13.57,47.0,2,Ground
plastic,pharmaceuticals,80.0,24.0,0.79,0.82,20.75,37.9,3,Air
bamboo,,,15.0,0.63,0.4,24.76,92.9,,Air
metal,electronics,82.0,14.0,0.46,0.94,9.68,24.9,,Ground
metal,cosmetics,,,0.55,0.95,6.68,31.7,2,Air
,pharmaceuticals,67.0,10.0,0.17,0.11,3.3,96.3,2,Air
plastic,food,93.0,,,0.96,3.95,,3,Ground
plastic,electronics,36.0,9.0,0.51,0.37,21.41,1.4,1,Ground
bagasse,home,51.0,13.0,0.79,0.65,14.92,90.6,2,Air
bagasse,cosmetics,70.0,20.0,0.55,0.03,21.91,22.7,2,Air
glass,electronics,39.0,18.0,0.68,,19.84,70.6,1,Ground
glass,home,86.0,12.0,0.66,0.64,17.01,55.3,3,Air
plastic,home,36.0,24.0,0.34,0.64,15.43,53.7,3,Air
bamboo,pharmaceuticals,79.0,23.0,0.28,0.9,1.68,71.8,1,Air
paper,pharmaceuticals,81.0,18.0,0.4,0.51,21.87,20.7,2,
bagasse,pharmaceuticals,62.0,11.0,0.43,0.41,10.74,15.9,1,Air
bamboo,,30.0,9.0,0.27,0.87,14.21,65.2,3,
jute,electronics,82.0,22.0,0.73,0.74,,29.1,2,Air
bagasse,cosmetics,89.0,6.0,0.48,0.95,23.43,,,Air
bagasse,pharmaceuticals,63.0,,,0.94,22.62,,2,
glass,home,33.0,12.0,0.67,0.38,13.81,,2,Ground
paper,food,46.0,5.0,0.49,,14.64,68.6,3,Ground
paper,,33.0,16.0,0.76,0.26,17.77,30.6,3,Air
metal,electronics,,6.0,0.45,0.66,,14.9,2,Ground
metal,cosmetics,33.0,22.0,0.72,0.36,5.94,42.3,,Air
,cosmetics,30.0,11.0,0.35,0.79,17.01,96.4,2,Ground
metal,cosmetics,79.0,21.0,0.37,0.12,3.06,41.1,1,Air
jute,cosmetics,90.0,18.0,0.39,0.12,11.62,34.7,1,Air
jute,food,64.0,11.0,0.48,0.2,12.57,,2,Air
bagasse,pharmaceuticals,,7.0,0.49,0.08,9.84,1.2,3,Air
plastic,home,53.0,10.0,0.45,0.62,5.04,13.3,,Ground
glass,cosmetics,65.0,24.0,0.31,0.15,9.21,85.0,1,Air
glass,cosmetics,79.0,6.0,0.75,0.16,,97.8,2,Ground
metal,cosmetics,72.0,21.0,0.51,0.01,12.73,15.8,1,Air
bagasse,pharmaceuticals,56.0,16.0,0.39,0.78,17.03,53.6,3,Ground
,electronics,61.0,16.0,0.56,0.81,24.22,96.6,3,Air
plastic,electronics,47.0,21.0,0.64,0.16,4.03,15.7,1,Ground
bagasse,food,57.0,14.0,0.77,0.74,21.89,18.6,3,Air
plastic,electronics,58.0,7.0,0.45,0.43,7.46,92.7,3,Air
,cosmetics,45.0,24.0,0.18,0.24,14.99,70.6,1,
plastic,cosmetics,76.0,22.0,0.41,0.62,13.9,15.2,2,Ground
bagasse,cosmetics,88.0,17.0,0.44,0.18,14.15,39.3,3,Ground
metal,food,60.0,16.0,0.73,0.76,18.22,5.6,1,Air
glass,cosmetics,33.0,21.0,0.38,0.05,9.85,43.3,2,Air
glass,electronics,66.0,8.0,0.77,0.96,8.32,77.8,1,Air
,,46.0,14.0,0.44,0.07,21.39,55.4,2,Air
plastic,pharmaceuticals,68.0,15.0,0.78,0.58,5.89,64.7,3,Ground
bamboo,home,77.0,10.0,0.11,0.9,4.92,,2,Air
,electronics,75.0,10.0,0.73,0.01,0.88,16.1,1,Air
bagasse,cosmetics,77.0,13.0,0.75,0.5,5.66,1.3,1,Ground
paper,pharmaceuticals,68.0,19.0,0.77,0.35,13.2,82.1,3,Air
metal,electronics,33.0,6.0,,0.58,,63.7,,Air
bamboo,pharmaceuticals,59.0,8.0,0.22,0.23,6.73,22.9,2,Ground
bagasse,cosmetics,59.0,9.0,0.56,,2.27,41.8,1,Air
metal,pharmaceuticals,51.0,21.0,,0.63,18.74,80.1,3,Ground
plastic,home,95.0,12.0,0.14,0.42,19.07,53.9,,Ground
glass,home,41.0,,0.25,,24.95,30.0,3,
paper,pharmaceuticals,65.0,16.0,0.46,0.21,22.55,26.7,2,Air
jute,electronics,,12.0,0.48,0.34,23.19,,3,Air
jute,electronics,82.0,,0.12,0.56,20.06,82.4,1,Air
bamboo,electronics,30.0,7.0,0.22,0.59,15.58,58.2,,
,pharmaceuticals,87.0,22.0,0.45,0.37,3.65,70.9,1,Air
paper,,35.0,23.0,0.52,0.28,15.75,86.0,,Ground
,cosmetics,99.0,23.0,0.2,,1.87,98.7,2,Ground
paper,home,73.0,,0.38,0.17,22.19,,3,Ground
bamboo,cosmetics,53.0,10.0,0.73,0.33,12.3,18.1,,
bamboo,electronics,48.0,20.0,0.8,0.2,17.59,46.2,2,Ground
jute,cosmetics,47.0,12.0,0.79,0.63,1.78,3.5,,Ground
plastic,electronics,59.0,20.0,0.72,0.57,13.59,79.2,1,Ground
bagasse,pharmaceuticals,71.0,22.0,0.38,0.38,7.88,88.4,,Air
jute,cosmetics,62.0,24.0,0.58,,7.48,,3,
plastic,pharmaceuticals,41.0,20.0,0.39,0.24,10.05,26.8,,Ground
jute,pharmaceuticals,56.0,15.0,0.55,0.54,0.52,12.3,,Air
bagasse,food,,11.0,0.32,0.92,11.93,38.2,1,
glass,electronics,38.0,21.0,0.52,0.69,12.42,83.3,3,Ground
glass,home,50.0,,0.47,0.74,,34.8,,Ground
glass,electronics,58.0,16.0,0.12,0.83,11.49,3.4,1,Air
,home,62.0,17.0,0.65,0.35,9.41,27.4,1,
metal,,,14.0,,0.06,24.87,99.0,1,Ground
paper,pharmaceuticals,44.0,11.0,0.31,0.62,14.49,67.7,3,Ground
metal,cosmetics,31.0,18.0,,0.19,12.08,90.1,3,
metal,cosmetics,81.0,5.0,0.36,0.57,12.65,77.5,2,Air
metal,food,73.0,21.0,,0.74,20.32,54.0,1,Air
glass,home,83.0,8.0,0.74,0.78,8.85,14.9,2,Ground
bagasse,home,47.0,9.0,0.39,0.3,10.03,34.9,1,Air
bamboo,home,32.0,24.0,,0.51,19.02,58.4,,Ground
bamboo,pharmaceuticals,36.0,11.0,0.34,0.62,2.29,87.1,2,Air
paper,home,,14.0,0.54,0.82,21.7,26.9,3,Air
glass,cosmetics,67.0,21.0,0.65,0.76,11.04,12.1,,Air
glass,pharmaceuticals,,11.0,0.55,0.99,14.74,55.9,2,Ground
glass,electronics,87.0,,0.62,0.01,19.06,17.7,2,Air
jute,home,62.0,11.0,0.73,0.44,7.02,61.0,3,Air
plastic,home,88.0,15.0,0.7,0.26,22.31,26.4,1,Air
jute,electronics,40.0,13.0,0.57,0.12,,23.1,3,Ground
plastic,home,97.0,16.0,0.25,0.91,12.61,39.9,1,
,electronics,97.0,7.0,0.55,1.0,23.45,59.3,3,Air
glass,pharmaceuticals,,8.0,0.45,0.18,0.53,54.5,1,Ground
jute,cosmetics,95.0,8.0,0.6,0.04,22.41,24.5,1,Air
jute,electronics,73.0,17.0,0.68,0.28,8.12,89.1,2,Air
,food,35.0,23.0,0.62,0.83,8.13,11.0,,
bamboo,electronics,71.0,14.0,0.69,,6.09,3.9,,Air
plastic,home,54.0,9.0,0.14,0.06,8.27,60.3,1,Air
jute,pharmaceuticals,86.0,11.0,0.12,0.05,5.73,12.3,1,Air
bagasse,pharmaceuticals,,20.0,0.28,0.43,22.69,50.5,2,
jute,electronics,45.0,,0.73,0.93,22.53,95.2,,Ground
bagasse,cosmetics,43.0,16.0,0.68,,3.0,69.9,3,Ground
paper,food,68.0,6.0,0.58,,4.0,61.7,2,Ground
jute,,57.0,11.0,0.59,,21.62,,3,Air
paper,home,80.0,15.0,0.61,,10.27,,3,
bamboo,home,78.0,17.0,0.76,,4.65,43.3,,Air
plastic,cosmetics,38.0,6.0,0.68,0.27,13.01,34.3,3,Ground
bagasse,pharmaceuticals,87.0,11.0,0.54,0.3,,95.3,1,Ground
,electronics,74.0,19.0,0.57,0.84,5.87,24.2,1,Air
paper,home,51.0,15.0,0.25,,18.16,47.2,3,
bagasse,cosmetics,61.0,6.0,0.56,0.64,15.97,93.8,1,Ground
plastic,pharmaceuticals,98.0,11.0,0.4,0.39,2.94,78.9,1,Air
jute,,98.0,8.0,0.21,0.3,23.17,96.5,,Air
glass,pharmaceuticals,71.0,15.0,0.66,0.66,14.18,60.8,3,Air
paper,pharmaceuticals,,6.0,0.46,0.83,6.63,33.4,2,Ground
plastic,pharmaceuticals,88.0,20.0,0.78,,5.55,82.7,3,Ground
paper,home,68.0,11.0,0.3,0.03,3.83,29.1,2,Ground
metal,cosmetics,44.0,17.0,0.44,0.46,10.9,16.5,,Ground
paper,pharmaceuticals,58.0,9.0,0.41,0.46,3.82,70.6,1,Ground
bagasse,food,32.0,21.0,0.18,0.54,10.69,63.9,3,Air
metal,,,16.0,0.4,0.67,4.14,87.9,3,Air
bagasse,cosmetics,58.0,23.0,,0.02,16.59,96.2,2,Ground
glass,electronics,,11.0,,0.5,19.74,85.7,3,
,electronics,,10.0,0.3,0.59,13.96,6.0,,
jute,electronics,41.0,12.0,0.26,0.34,17.16,66.5,3,Ground
paper,food,67.0,,0.61,0.67,23.49,78.5,2,Ground
plastic,electronics,48.0,9.0,0.12,0.23,16.14,,2,
bamboo,,96.0,6.0,0.53,0.32,9.42,37.5,,Air
paper,pharmaceuticals,37.0,13.0,0.63,0.96,,17.0,2,
paper,food,37.0,15.0,0.44,0.35,21.58,85.3,,Ground
glass,cosmetics,76.0,10.0,0.75,0.35,,31.7,2,Air
,cosmetics,33.0,11.0,0.6,0.6,8.48,59.8,1,Ground
bamboo,pharmaceuticals,80.0,11.0,0.62,0.97,14.64,39.0,1,Air
metal,food,,23.0,0.24,0.98,17.07,40.2,,Ground
metal,electronics,74.0,10.0,0.64,0.58,19.21,73.2,,Ground
metal,electronics,37.0,15.0,0.68,0.0,8.3,36.1,,Ground
bagasse,home,45.0,15.0,0.35,0.9,4.07,69.3,3,Air
bagasse,home,96.0,11.0,0.25,0.57,,,2,
plastic,electronics,38.0,6.0,0.37,0.37,2.37,32.5,3,Air
bamboo,,89.0,23.0,0.62,0.83,2.85,31.9,1,Ground
,cosmetics,44.0,8.0,,0.4,,74.9,,Ground
bagasse,home,70.0,10.0,0.62,0.03,,31.5,,Air
plastic,pharmaceuticals,51.0,21.0,0.18,,19.48,63.3,3,
jute,electronics,53.0,9.0,0.66,0.55,23.47,68.9,1,Ground
plastic,home,73.0,11.0,0.28,0.34,3.97,,2,Ground
bagasse,home,30.0,13.0,0.27,0.25,9.71,60.3,1,Ground
glass,electronics,39.0,5.0,0.51,0.59,7.41,41.4,,Ground
glass,electronics,85.0,5.0,0.15,0.21,21.59,37.3,1,Air
metal,cosmetics,79.0,23.0,0.12,0.32,12.46,56.5,3,
glass,pharmaceuticals,41.0,10.0,0.28,0.64,1.16,6.4,,Ground
metal,pharmaceuticals,89.0,22.0,0.48,0.88,17.85,87.6,1,Air
metal,electronics,55.0,14.0,0.74,0.53,,82.5,2,
bagasse,food,70.0,15.0,0.69,0.76,,34.6,3,Ground
glass,home,65.0,5.0,0.44,0.76,,56.7,3,Ground
metal,home,52.0,5.0,0.13,0.66,6.79,93.2,,Air
bamboo,,72.0,17.0,0.47,0.25,6.39,27.2,,Air
jute,food,35.0,9.0,0.59,0.87,6.95,74.2,1,
,cosmetics,98.0,24.0,0.34,0.44,8.78,8.3,3,Ground
plastic,electronics,72.0,5.0,0.18,0.04,3.13,52.3,2,
,electronics,54.0,,0.29,0.24,17.58,88.4,3,Air
glass,home,47.0,7.0,0.64,0.77,5.58,55.2,1,Air
glass,electronics,91.0,22.0,0.35,0.07,23.19,61.6,3,Ground
metal,electronics,42.0,13.0,,0.15,5.78,90.8,1,Air
paper,electronics,72.0,18.0,0.32,0.69,6.76,71.5,2,Air
metal,home,57.0,21.0,0.21,0.89,7.78,69.6,1,Ground
jute,cosmetics,47.0,18.0,0.41,0.63,19.33,58.6,,Ground
bamboo,cosmetics,88.0,8.0,0.42,0.22,10.98,63.3,2,Ground
,,89.0,,0.11,0.05,20.57,80.4,3,Ground
metal,home,92.0,,0.18,0.62,19.73,97.9,3,Air
paper,cosmetics,86.0,6.0,0.23,0.05,23.27,79.5,1,Ground
,,80.0,9.0,0.18,0.61,19.04,70.8,1,Air
metal,cosmetics,85.0,8.0,0.34,0.23,1.77,13.6,2,Air
bagasse,home,56.0,,0.78,,,81.7,3,Air
plastic,,61.0,10.0,0.46,0.48,23.48,73.6,1,Air
bagasse,electronics,38.0,,0.54,0.22,24.85,77.0,2,Air
bamboo,pharmaceuticals,97.0,17.0,0.35,0.85,3.57,23.1,1,Ground
paper,cosmetics,75.0,9.0,0.33,0.25,15.53,90.3,2,Ground
paper,pharmaceuticals,96.0,11.0,0.12,0.31,5.39,9.7,1,Air
jute,home,55.0,24.0,0.45,,6.93,25.4,1,Ground
bamboo,home,37.0,5.0,0.44,0.31,18.77,66.3,1,
paper,home,35.0,18.0,0.21,0.41,24.45,67.4,1,Air
bamboo,pharmaceuticals,53.0,8.0,0.64,0.35,15.07,,1,Air
plastic,,77.0,21.0,0.44,0.12,,70.2,3,
glass,,74.0,18.0,0.34,0.04,0.72,38.8,1,Air
paper,home,42.0,20.0,,0.72,1.4,0.0,1,Ground
jute,,98.0,18.0,0.49,0.65,15.12,16.3,1,Air
plastic,pharmaceuticals,54.0,20.0,0.63,,10.03,88.3,3,Air
metal,food,49.0,,0.3,,,22.3,,Air
bamboo,home,95.0,12.0,0.25,0.95,7.9,11.3,3,Ground
,,74.0,7.0,0.47,0.99,11.09,,2,Air
,cosmetics,76.0,23.0,0.21,0.47,,44.1,1,Ground
plastic,home,92.0,5.0,0.57,0.8,,79.7,1,
metal,electronics,84.0,6.0,0.52,0.74,22.76,86.1,2,Ground
paper,pharmaceuticals,48.0,19.0,0.16,0.3,11.88,,2,
bamboo,,,14.0,0.13,0.06,10.89,31.3,3,Ground
glass,food,82.0,22.0,0.53,0.14,,50.6,3,Ground
plastic,food,55.0,,0.31,0.84,8.14,65.0,2,Ground
paper,pharmaceuticals,43.0,21.0,0.16,0.73,20.53,32.2,2,Ground
jute,electronics,74.0,17.0,0.63,0.66,3.5,4.1,1,Ground
bagasse,pharmaceuticals,73.0,5.0,0.32,0.13,4.98,49.6,1,Air
bamboo,food,94.0,9.0,0.42,0.64,,1.3,,Ground
plastic,home,80.0,17.0,0.27,0.77,21.14,,,
plastic,cosmetics,72.0,18.0,0.54,,10.0,79.7,,Air
glass,pharmaceuticals,52.0,7.0,,0.01,16.14,19.2,2,
glass,,85.0,19.0,0.78,0.68,23.6,,2,Ground
jute,electronics,,23.0,0.59,0.02,5.69,98.3,1,Ground
bagasse,electronics,84.0,21.0,0.2,0.71,1.95,37.4,3,Ground
jute,pharmaceuticals,89.0,7.0,0.39,0.64,13.67,78.4,,Ground
paper,food,88.0,20.0,0.37,0.15,3.99,44.7,,Air
paper,cosmetics,62.0,18.0,0.47,0.77,5.09,86.4,1,Air
jute,electronics,,16.0,,0.07,22.34,70.4,1,Ground
bagasse,food,57.0,16.0,0.51,0.83,0.68,2.3,2,
jute,home,81.0,15.0,0.14,0.26,20.51,29.4,2,
bagasse,electronics,78.0,21.0,0.56,,13.17,,3,Air
bagasse,food,66.0,12.0,0.11,0.92,14.2,92.6,3,Air
metal,food,55.0,21.0,0.65,0.34,16.96,,2,
bamboo,cosmetics,69.0,24.0,0.57,0.5,11.07,60.1,3,Air
bagasse,cosmetics,67.0,15.0,0.32,0.46,3.33,30.2,1,Ground
,home,83.0,6.0,0.3,0.16,3.02,88.9,3,Air
bagasse,food,51.0,14.0,0.66,0.59,18.98,76.5,1,Air
bagasse,food,45.0,,0.65,0.74,,37.0,1,Air
bagasse,cosmetics,57.0,,0.35,0.92,1.19,16.7,1,Air
metal,electronics,64.0,10.0,0.31,0.85,24.5,1.1,3,Ground
metal,electronics,89.0,8.0,0.49,0.51,24.52,62.1,1,
paper,pharmaceuticals,74.0,16.0,0.11,0.72,9.76,40.6,1,Air
metal,,75.0,15.0,0.16,0.8,1.13,31.5,2,Ground
glass,pharmaceuticals,84.0,17.0,0.19,0.49,18.32,98.6,1,
glass,cosmetics,55.0,9.0,0.23,0.12,20.86,46.6,3,Ground
metal,home,54.0,10.0,0.46,0.44,,75.0,2,Air
jute,,94.0,5.0,,0.84,3.82,17.7,,Air
bamboo,home,35.0,10.0,0.56,0.6,20.64,1.3,1,Ground
metal,cosmetics,52.0,22.0,0.14,0.72,23.09,41.8,1,Ground
