material_type,product_category,strength,weight_capacity,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percentage,fragility_level,shipping_type,co2_impact_index,cost_efficiency_index,material_suitability_score
jute,electronics,45.0,6.7,0.27,0.92,0.91,65.1,3.0,air,0.012762453684643888,0.19980365951759843,0.3529070564164998
bamboo,cosmetics,60.0,8.7,0.26,0.77,1.11,66.9,2.0,ground,0.020996294771510916,0.3752256389386655,0.4187721759656262
plastic,food,59.0,8.4,0.29,0.17,17.2,30.2,1.0,ground,0.6834088102099629,0.2985048492901039,0.14630503005969736
bagasse,home,32.0,4.7,0.27,0.99,0.79,84.2,1.0,ground,0.007822149032523675,0.0658412405415401,0.3232067163286456
paper,food,53.0,9.2,0.17,0.94,0.87,86.0,1.0,ground,0.011115685467270483,0.6203386644131563,0.4760542537073305
glass,electronics,85.0,16.9,0.43,0.01,15.69,91.8,3.0,air,0.6212433100041169,0.3095082450022792,0.4650588824820344
jute,home,49.0,6.7,0.22,0.99,1.64,73.4,1.0,ground,0.04281597365170853,0.3485826200365445,0.4020711277075031
plastic,pharmaceuticals,49.0,8.1,0.26,0.23,15.46,54.0,2.0,ground,0.61177439275422,0.2676435270244613,0.16918050077305516
bagasse,pharmaceuticals,31.0,6.0,0.22,0.94,1.15,86.3,2.0,ground,0.022643062988884313,0.14362029152974876,0.332947760078779
bagasse,home,48.0,6.8,0.26,0.96,0.8,87.6,1.0,ground,0.008233841086867026,0.24631259104147252,0.42284993151603556
plastic,electronics,46.0,9.1,0.19,0.12,17.58,46.3,3.0,air,0.6990531082750102,0.4373625920064533,0.1282043386817648
plastic,food,64.0,11.7,0.19,0.07,11.23,45.9,1.0,ground,0.43762865376698235,0.6988004209198686,0.2569186130087444
bamboo,home,57.0,8.4,0.22,0.88,0.85,82.9,1.0,ground,0.01029230135858378,0.45489997760424067,0.4606532524296166
metal,home,88.0,14.4,0.59,0.0,24.23,78.7,1.0,ground,0.9728283244133388,0.15658837521785376,0.368403611394087
paper,cosmetics,42.0,6.2,0.15,1.0,1.48,79.8,2.0,ground,0.036228900782214905,0.5129161910014439,0.3858721676393426
jute,electronics,37.0,4.9,0.29,0.89,1.28,69.9,3.0,air,0.027995059695347883,0.08647462164908522,0.2946963844502687
metal,cosmetics,80.0,10.7,0.73,0.0,17.42,97.4,2.0,ground,0.6924660354055167,0.03767924674406475,0.3398933337323779
bagasse,cosmetics,30.0,5.9,0.19,0.94,0.89,82.6,2.0,ground,0.011939069575957187,0.19369238253375534,0.3229012379610786
plastic,cosmetics,54.0,8.4,0.3,0.14,10.72,42.4,2.0,ground,0.41663235899547146,0.23963533785374827,0.1696456132660795
glass,cosmetics,78.0,10.6,0.41,0.02,14.45,87.0,2.0,ground,0.5701934952655414,0.2591616505018512,0.34817442455724557
paper,food,36.0,5.4,0.15,0.89,1.4,83.7,1.0,ground,0.03293536434746809,0.4036031810061806,0.33533946823598165
glass,home,52.0,12.0,0.32,0.0,14.04,86.5,1.0,ground,0.553314121037464,0.22034484284809477,0.2573252299167063
plastic,electronics,67.0,9.6,0.33,0.15,12.02,46.3,3.0,air,0.47015232606010704,0.29779957564644643,0.2448614038390401
paper,home,52.0,5.7,0.13,0.9,1.01,91.8,1.0,ground,0.0168793742280774,0.8083322662536692,0.4307244873681337
metal,home,85.0,14.0,0.71,0.0,23.92,92.8,1.0,ground,0.960065870728695,0.07430743085484846,0.3714596414867094
paper,food,52.0,7.0,0.23,0.86,1.33,77.6,1.0,ground,0.03005351996706464,0.35663636551161815,0.40236345742709007
metal,cosmetics,96.0,13.2,0.58,0.0,21.41,96.7,2.0,ground,0.8567311650885138,0.1920747726723585,0.43640292601156455
plastic,home,78.0,13.1,0.31,0.22,11.1,39.3,1.0,ground,0.43227665706051877,0.44669817679208634,0.3448198663050351
glass,pharmaceuticals,67.0,12.7,0.59,0.02,17.97,90.4,2.0,ground,0.715109098394401,0.06381353733891544,0.30800535605406365
paper,cosmetics,44.0,6.4,0.15,0.91,1.22,83.5,2.0,ground,0.025524907369287773,0.5482821648234408,0.38796454823087756
glass,pharmaceuticals,70.0,10.3,0.37,0.0,15.99,78.7,2.0,ground,0.6335940716344175,0.2614027587186067,0.28483723228959157
plastic,home,76.0,12.5,0.27,0.13,10.84,26.6,1.0,ground,0.4215726636475916,0.5284581274055283,0.28786009941731255
paper,pharmaceuticals,40.0,6.7,0.2,0.9,1.78,83.5,2.0,ground,0.04857966241251545,0.30112317253489385,0.3666453518445474
plastic,home,53.0,7.2,0.44,0.13,16.69,30.2,1.0,ground,0.662412515438452,0.06799323027615559,0.08707207503418725
bamboo,food,61.0,9.3,0.31,0.86,0.95,68.2,1.0,ground,0.01440922190201729,0.2849060682961227,0.44888891828797634
jute,electronics,52.0,7.7,0.18,0.97,1.41,71.5,3.0,air,0.033347056401811445,0.537834015713115,0.424601352512629
jute,home,45.0,7.4,0.29,0.97,1.62,64.7,1.0,ground,0.04199258954302182,0.1737811859718576,0.36714873823065153
glass,pharmaceuticals,76.0,12.5,0.42,0.02,12.47,86.8,2.0,ground,0.4886784685055579,0.2461808452233153,0.3721585687052716
paper,pharmaceuticals,38.0,5.9,0.24,0.88,1.09,83.1,2.0,ground,0.02017291066282421,0.17915091572664743,0.3422142117400286
bamboo,electronics,56.0,8.8,0.24,0.88,1.0,65.2,3.0,air,0.01646768217373405,0.38913691025624075,0.423152925211476
jute,cosmetics,58.0,8.6,0.22,1.0,1.35,73.5,2.0,ground,0.030876904075751343,0.4680526403961205,0.4702771890794271
plastic,pharmaceuticals,64.0,9.6,0.41,0.06,12.01,45.2,2.0,ground,0.4697406340057637,0.17094238497334094,0.2057102583259449
metal,electronics,99.0,17.6,0.71,0.0,17.77,91.2,3.0,air,0.7068752573075339,0.1340812220385044,0.5030002133981623
plastic,pharmaceuticals,76.0,11.1,0.4,0.11,1.48,31.2,2.0,ground,0.036228900782214905,0.26314618864539374,0.30339475523354154
bamboo,cosmetics,41.0,7.0,0.27,0.89,1.08,82.2,2.0,ground,0.01976121860848086,0.16675959617017072,0.3681034461138606
bamboo,electronics,50.0,6.8,0.29,0.76,1.16,68.7,3.0,air,0.023054755043227664,0.21036679387854315,0.34891530224906375
metal,home,76.0,11.5,0.53,0.0,13.43,94.8,1.0,ground,0.5282009057225195,0.13617644646215166,0.3590880926594606
paper,electronics,46.0,6.9,0.17,0.87,1.32,94.2,3.0,air,0.02964182791272129,0.4884253698249367,0.4155813801686131
plastic,electronics,57.0,10.1,0.23,0.84,16.03,38.0,3.0,air,0.6352408398517909,0.4415568355374682,0.3198823411718854
jute,food,51.0,7.1,0.17,0.96,1.39,76.8,1.0,ground,0.03252367229312474,0.5621833409925434,0.42188338051640967
plastic,food,63.0,9.2,0.41,0.13,10.11,41.4,1.0,ground,0.391519143680527,0.1627085868573467,0.20994950553643624
plastic,electronics,70.0,9.6,0.2,0.05,12.58,49.5,3.0,air,0.4932070811033347,0.6977853809331553,0.2517516367184052
paper,home,44.0,7.0,0.16,0.91,1.53,75.7,1.0,ground,0.038287361053931664,0.5066872772269359,0.3779896882814456
paper,pharmaceuticals,36.0,5.1,0.17,0.92,1.18,94.6,2.0,ground,0.023878139151914366,0.32105151217536765,0.35917933967498006
paper,pharmaceuticals,37.0,7.3,0.12,0.97,1.0,89.7,2.0,ground,0.01646768217373405,0.6282560083720622,0.39757825793156576
bagasse,electronics,30.0,4.2,0.2,0.94,0.73,87.9,3.0,air,0.005351996706463566,0.15041564654771242,0.3107720078277377
bagasse,food,35.0,5.6,0.26,0.94,0.72,83.7,1.0,ground,0.004940304652120214,0.11461724714649847,0.33840561552714493
bagasse,home,38.0,7.0,0.14,0.96,0.99,88.5,1.0,ground,0.016055990119390698,0.5131454711057021,0.391970083462081
jute,pharmaceuticals,41.0,7.8,0.29,0.87,1.22,70.0,2.0,ground,0.025524907369287773,0.1438475067754785,0.3477299371759339
paper,home,37.0,5.5,0.23,0.95,1.19,90.2,1.0,ground,0.024289831206257717,0.18365022286636792,0.3614137031900912
jute,electronics,50.0,8.2,0.19,0.92,1.04,69.5,3.0,air,0.018114450391107456,0.47670517791089917,0.4093295444580169
plastic,pharmaceuticals,49.0,9.5,0.21,0.84,12.15,41.7,2.0,ground,0.4755043227665707,0.40980498835197704,0.3020594906855677
bagasse,cosmetics,32.0,4.9,0.27,0.9,0.91,80.2,2.0,ground,0.012762453684643888,0.06762740612788748,0.29917363032437805
bagasse,food,49.0,6.6,0.21,0.9,0.99,86.8,1.0,ground,0.016055990119390698,0.3765057937293265,0.4137409589369207
paper,electronics,39.0,6.5,0.15,0.93,1.45,86.6,3.0,air,0.03499382461918485,0.4695124958562658,0.37701724005981907
bagasse,pharmaceuticals,42.0,6.9,0.15,0.98,1.01,80.6,2.0,ground,0.0168793742280774,0.5241690008538974,0.39491493140256745
bamboo,home,58.0,9.9,0.27,0.8,0.95,82.3,1.0,ground,0.01440922190201729,0.3444830720117415,0.4639469224080009
plastic,electronics,67.0,12.5,0.35,0.2,16.12,35.8,3.0,air,0.6389460683408811,0.2857952378472917,0.2540660151802424
plastic,pharmaceuticals,69.0,13.2,0.36,0.12,12.67,49.0,2.0,ground,0.4969123095924249,0.2886659072383955,0.2968870107686156
metal,cosmetics,86.0,16.0,0.39,0.0,13.61,88.0,2.0,ground,0.5356113627006999,0.36873442347223057,0.4589192472780886
paper,cosmetics,43.0,8.0,0.25,0.92,1.17,90.4,2.0,ground,0.023466447097571015,0.22998971217634145,0.41430828158327665
plastic,cosmetics,64.0,11.5,0.3,0.07,17.18,44.7,2.0,ground,0.6825854261012761,0.34492983816674877,0.21915947030596714
glass,cosmetics,82.0,15.3,0.37,0.0,13.27,92.8,2.0,ground,0.521613832853026,0.37219341071886797,0.44482893458097433
jute,home,58.0,10.2,0.25,0.98,1.22,74.6,1.0,ground,0.025524907369287773,0.39588872268121184,0.4884946115352374
paper,electronics,51.0,7.7,0.24,0.91,1.05,83.6,3.0,air,0.018526142445450807,0.32784913194856047,0.43025517179674483
plastic,home,72.0,10.1,0.38,0.17,17.87,37.3,1.0,ground,0.7109921778509675,0.25905321073740745,0.23105287921930212
bagasse,electronics,48.0,6.9,0.2,0.96,0.69,88.4,3.0,air,0.0037052284890901595,0.39998730958248474,0.4307142604813986
plastic,electronics,56.0,9.9,0.42,0.16,9.48,39.7,3.0,air,0.3655825442568959,0.11642850207134237,0.19332980095916888
metal,food,94.0,12.6,0.49,0.0,16.14,88.4,1.0,ground,0.6397694524495677,0.26266662477484304,0.43081133570061314
bamboo,pharmaceuticals,43.0,7.1,0.24,0.75,1.25,75.7,2.0,ground,0.02675998353231783,0.2414434117115029,0.3382635983568253
paper,food,46.0,8.7,0.22,1.0,1.25,78.7,1.0,ground,0.02675998353231783,0.3376220677099779,0.4305806051559293
bamboo,food,48.0,9.3,0.34,0.88,1.31,82.7,1.0,ground,0.02923013585837794,0.1444591033558991,0.42255557903533797
paper,cosmetics,37.0,5.4,0.24,0.95,1.22,95.0,2.0,ground,0.025524907369287773,0.16408015056902112,0.3690936599948997
jute,electronics,48.0,8.4,0.18,0.89,1.52,77.6,3.0,air,0.03787566899958831,0.49362649931648345,0.4127853276831659
jute,home,58.0,11.2,0.18,0.84,1.63,62.9,1.0,ground,0.042404281597365166,0.6650980780670536,0.4533601035923298
plastic,pharmaceuticals,71.0,12.6,0.32,0.14,6.14,40.3,2.0,ground,0.22807739810621655,0.36803849523974613,0.3133733982778054
paper,food,46.0,9.2,0.18,0.92,0.99,92.7,1.0,ground,0.016055990119390698,0.4775510388086176,0.45419509157072085
bagasse,home,32.0,5.0,0.25,0.95,0.78,88.1,1.0,ground,0.007410456978180323,0.09495563385842368,0.3288082421091424
jute,home,42.0,7.0,0.27,0.91,1.48,79.6,1.0,ground,0.036228900782214905,0.17569042410190794,0.36944736112630083
jute,home,54.0,9.6,0.3,0.96,1.48,61.8,1.0,ground,0.036228900782214905,0.24928063559234376,0.42787470277614886
plastic,food,71.0,12.7,0.45,0.14,15.18,78.7,1.0,ground,0.600247015232606,0.1865866986307489,0.3470698435079852
plastic,food,73.0,10.7,0.41,0.16,15.34,31.9,1.0,ground,0.6068340881020997,0.23034335709587123,0.23859236640993867
bagasse,cosmetics,37.0,6.0,0.21,0.93,0.64,86.2,2.0,ground,0.0016467682173734062,0.23182653433436182,0.35966359623927235
glass,pharmaceuticals,87.0,16.2,0.49,0.0,18.59,86.3,2.0,ground,0.7406340057636888,0.24593496421466113,0.434611823332231
paper,pharmaceuticals,43.0,8.1,0.14,0.93,1.29,85.2,2.0,ground,0.028406751749691234,0.6182099212283555,0.4145395520492479
metal,home,83.0,12.1,0.69,0.0,22.54,92.4,1.0,ground,0.9032523672293125,0.07042389281042978,0.34341607639817723
paper,electronics,45.0,7.7,0.14,0.87,1.39,82.2,3.0,air,0.03252367229312474,0.6457678097851168,0.39923678808209345
jute,electronics,54.0,10.4,0.26,0.95,1.14,75.5,3.0,air,0.022231370934540962,0.33534606297046915,0.46925446502033724
glass,cosmetics,79.0,13.2,0.45,0.84,9.06,86.4,2.0,ground,0.3482914779744751,0.23213398855982537,0.5696701473015918
jute,pharmaceuticals,46.0,6.7,0.27,0.86,1.54,72.6,2.0,ground,0.03869905310827501,0.20873448744933568,0.3581145192643899
bagasse,pharmaceuticals,40.0,6.8,0.14,0.96,1.07,78.3,2.0,ground,0.01934952655413751,0.5441480957320587,0.37661719577333314
glass,cosmetics,80.0,11.4,0.42,0.0,11.78,85.6,2.0,ground,0.4602717167558666,0.26283048217644456,0.3710531558906744
plastic,home,52.0,8.7,0.25,0.11,10.1,26.8,1.0,ground,0.39110745162618366,0.3235490378680416,0.13309011932852746
jute,pharmaceuticals,57.0,9.1,0.25,0.94,1.04,72.8,2.0,ground,0.018114450391107456,0.37563361093352415,0.4583141750724428
jute,home,53.0,7.9,0.25,0.96,1.48,67.3,1.0,ground,0.036228900782214905,0.3254780961297261,0.4155627918868722
plastic,home,72.0,9.7,0.4,0.18,10.11,51.8,1.0,ground,0.391519143680527,0.23059328165030205,0.2880005626220201
jute,electronics,44.0,6.4,0.15,0.87,1.09,70.4,3.0,air,0.02017291066282421,0.5482821648234408,0.35350798965976565
plastic,pharmaceuticals,73.0,8.4,0.4,0.14,1.48,53.9,2.0,ground,0.036228900782214905,0.2287847868172414,0.3066367685081635
paper,cosmetics,38.0,7.5,0.25,0.99,0.97,90.2,2.0,ground,0.015232606010703994,0.17694060998001657,0.40022369058833607
paper,electronics,31.0,5.3,0.15,0.91,1.67,79.2,3.0,air,0.04405104981473857,0.3216184235097332,0.3058654398811427
paper,home,54.0,8.6,0.18,0.99,1.12,77.8,1.0,ground,0.021407986825854267,0.576683045273791,0.46363384303706906
jute,home,43.0,6.8,0.28,1.0,1.05,78.9,1.0,ground,0.018526142445450807,0.1669510277832031,0.38868515853427626
paper,home,33.0,5.7,0.2,0.86,1.72,76.3,1.0,ground,0.046109510086455335,0.20467035590309773,0.30010890611977936
glass,cosmetics,66.0,11.5,0.38,0.0,13.7,94.2,2.0,ground,0.53931659118979,0.22986347341296332,0.32429141127161054
bamboo,home,62.0,11.8,0.31,0.81,0.83,65.6,1.0,ground,0.009468917249897077,0.31213070193727044,0.4721574157667859
bamboo,home,53.0,9.8,0.26,0.87,0.87,67.4,1.0,ground,0.011115685467270483,0.320507150982303,0.4252205389324393
glass,electronics,76.0,11.4,0.45,0.01,9.73,88.5,3.0,air,0.3758748456154797,0.20641316601164106,0.36787093102922047
paper,cosmetics,40.0,6.3,0.18,1.0,1.32,90.6,2.0,ground,0.02964182791272129,0.35832470670861183,0.3992334390035363
bagasse,pharmaceuticals,37.0,5.0,0.19,0.97,1.13,81.3,2.0,ground,0.021819678880197608,0.2711084386683104,0.3435072260486166
jute,food,37.0,5.3,0.2,0.93,0.98,64.7,1.0,ground,0.015644298065047347,0.24807412338740592,0.305240227363242
bamboo,pharmaceuticals,56.0,8.9,0.29,0.75,1.28,79.5,2.0,ground,0.027995059695347883,0.2777175720703962,0.4231393539367165
bamboo,pharmaceuticals,52.0,8.0,0.35,0.83,1.22,71.7,2.0,ground,0.025524907369287773,0.15144995537169542,0.38934970938202323
plastic,home,77.0,13.1,0.19,0.06,14.96,28.4,1.0,ground,0.5911897900370524,0.8815530780243919,0.2789454651233987
plastic,food,54.0,10.7,0.3,0.12,9.28,35.9,1.0,ground,0.3573487031700288,0.2581221585193896,0.1892622027868477
plastic,home,66.0,11.0,0.44,0.09,6.57,32.5,1.0,ground,0.24578015644298068,0.16006207906574763,0.23334741240453152
metal,home,93.0,15.4,0.65,0.0,19.73,96.7,1.0,ground,0.7875668999588308,0.1402152983273839,0.45485854516986357
bamboo,food,51.0,9.5,0.28,0.76,0.97,69.3,1.0,ground,0.015232606010703994,0.25909804673902015,0.39250338757966985
metal,food,82.0,14.6,0.73,0.0,12.47,98.0,1.0,ground,0.4886784685055579,0.057168071536280354,0.42290670903525324
jute,pharmaceuticals,42.0,8.4,0.25,0.85,1.69,78.7,2.0,ground,0.04487443392342527,0.22420253739128784,0.37511791936199723
bagasse,food,52.0,6.1,0.27,0.97,1.06,86.6,1.0,ground,0.018937834499794158,0.25696095828071663,0.42891564338502286
bagasse,electronics,32.0,6.3,0.18,0.93,0.6,84.9,3.0,air,0.0,0.2511549699895054,0.3416705076046509
bagasse,food,40.0,5.9,0.26,0.98,0.84,79.2,1.0,ground,0.009880609304240428,0.16377114310729862,0.3624327915287916
jute,food,59.0,9.3,0.27,0.99,1.62,75.8,1.0,ground,0.04199258954302182,0.34805540318443634,0.48203544647989177
glass,pharmaceuticals,76.0,12.5,0.43,0.0,1.48,86.9,2.0,ground,0.036228900782214905,0.23436457061519736,0.41287427531600274
paper,home,47.0,7.8,0.15,0.95,1.61,75.0,1.0,ground,0.04158089748867848,0.6190141124674344,0.4088076101349906
paper,food,34.0,5.5,0.2,0.95,1.48,78.7,1.0,ground,0.036228900782214905,0.2143156375662773,0.3256871453795122
plastic,electronics,59.0,8.9,0.37,0.05,11.23,46.2,3.0,air,0.43762865376698235,0.18059075373018077,0.18072448248660875
plastic,cosmetics,47.0,7.1,0.29,0.08,6.01,78.7,2.0,ground,0.222725401399753,0.18791653448125883,0.20456320901099123
bagasse,home,40.0,7.4,0.25,0.95,0.87,78.7,1.0,ground,0.011115685467270483,0.19526666346601967,0.3762846285201861
plastic,cosmetics,60.0,10.0,0.27,0.21,7.1,26.5,2.0,ground,0.26759983532317827,0.3632378106683896,0.2157023371186217
jute,home,52.0,9.9,0.23,1.0,1.25,61.3,1.0,ground,0.02675998353231783,0.3870399905826016,0.4362968354245892
paper,food,36.0,5.2,0.16,0.97,1.61,81.9,1.0,ground,0.04158089748867848,0.35899408637506364,0.3433281268927197
plastic,electronics,57.0,9.7,0.2,0.2,16.5,38.1,3.0,air,0.6545903664059284,0.5422552141143842,0.18695390942005144
bamboo,electronics,40.0,6.4,0.29,0.79,1.27,72.9,3.0,air,0.02758336764100453,0.12389172064455906,0.3142326208681615
paper,food,51.0,8.3,0.13,0.92,1.58,77.8,1.0,ground,0.04034582132564842,0.8380099760854023,0.4343189978604014
paper,home,39.0,6.8,0.15,1.0,1.3,77.5,1.0,ground,0.028818443804034585,0.47433512865017446,0.37693883219538826
bagasse,food,37.0,5.0,0.17,0.98,1.0,78.7,1.0,ground,0.01646768217373405,0.3338173148774534,0.34215587109741424
plastic,home,59.0,11.0,0.4,0.84,16.02,50.2,1.0,ground,0.6348291477974475,0.16006198316093653,0.35341868735075765
bagasse,electronics,42.0,7.8,0.23,0.91,0.95,88.6,3.0,air,0.01440922190201729,0.2601834859760847,0.4039252723396756
bamboo,food,63.0,10.8,0.33,0.88,1.12,71.1,1.0,ground,0.021407986825854267,0.2773398469707408,0.48565965072975653
plastic,pharmaceuticals,74.0,11.6,0.24,0.21,8.47,54.5,2.0,ground,0.3240016467682174,0.598118187108659,0.3524515328583796
jute,electronics,35.0,5.7,0.29,0.98,1.03,70.9,3.0,air,0.0177027583367641,0.07649672858362554,0.3179012127834644
bamboo,home,50.0,9.6,0.33,0.88,1.22,78.4,1.0,ground,0.025524907369287773,0.17357979440109056,0.42755121211997105
paper,home,40.0,6.7,0.23,1.0,1.78,86.6,1.0,ground,0.04857966241251545,0.227683059176068,0.3908268321289688
plastic,home,55.0,8.5,0.19,0.07,1.48,49.2,1.0,ground,0.036228900782214905,0.5439683086507585,0.22148436083081968
plastic,pharmaceuticals,70.0,10.1,0.24,0.15,11.41,31.8,2.0,ground,0.44503911074516267,0.5428587148640291,0.2439142338206107
bagasse,cosmetics,49.0,7.0,0.28,0.94,0.85,86.7,2.0,ground,0.01029230135858378,0.2203446275519943,0.42236963043883335
bamboo,electronics,59.0,8.0,0.21,0.81,0.88,67.0,3.0,air,0.011527377521613834,0.5074060760390563,0.41779429668847917
bamboo,home,60.0,10.5,0.22,0.75,1.48,72.0,1.0,ground,0.036228900782214905,0.5107987944697304,0.4510226579177102
jute,electronics,36.0,5.1,0.26,0.87,1.55,69.3,3.0,air,0.039110745162618366,0.11925440714280038,0.28890931113596524
glass,electronics,52.0,10.9,0.55,0.01,10.09,86.2,3.0,air,0.3906957595718403,0.0138481040750049,0.24319230462438962
bamboo,food,60.0,8.0,0.22,0.79,0.93,72.3,1.0,ground,0.013585837793330592,0.48339741365331385,0.4281213123009467
metal,food,92.0,13.3,0.43,0.0,14.53,89.9,1.0,ground,0.5734870317002881,0.3285745504437775,0.44570580910762925
jute,cosmetics,44.0,6.2,0.25,0.87,1.59,78.4,2.0,ground,0.04075751337999177,0.22227347912960332,0.357877401992392
bamboo,home,45.0,8.0,0.33,0.88,0.98,68.7,1.0,ground,0.015644298065047347,0.12535329109407006,0.36519225725772714
glass,food,83.0,13.7,0.48,0.02,16.28,92.6,1.0,ground,0.6455331412103748,0.22386186440257402,0.41066288500436876
bamboo,food,52.0,8.9,0.34,0.88,1.4,65.3,1.0,ground,0.03293536434746809,0.16999078385280691,0.39831930677720123
plastic,cosmetics,74.0,14.3,0.32,0.06,13.36,44.5,2.0,ground,0.5253190613421161,0.40345483025202994,0.3123195293419042
plastic,pharmaceuticals,61.0,8.5,0.37,0.16,17.64,43.4,2.0,ground,0.7015232606010704,0.1910181092125583,0.17385603780247674
glass,electronics,89.0,13.1,0.56,0.02,19.9,85.3,3.0,air,0.7945656648826677,0.1777166515091692,0.39281491931838525
paper,home,32.0,4.5,0.21,0.99,0.8,93.7,1.0,ground,0.008233841086867026,0.15719040845600696,0.3444487849505668
jute,electronics,54.0,8.5,0.18,0.97,1.35,79.9,3.0,air,0.030876904075751343,0.5753434235648022,0.46166252303765115
jute,food,59.0,8.8,0.26,0.86,1.27,77.8,1.0,ground,0.02758336764100453,0.366878750945322,0.45557578515186287
jute,pharmaceuticals,35.0,6.7,0.23,0.99,1.49,79.4,2.0,ground,0.03664059283655825,0.1752630159502346,0.3534464438166171
paper,food,44.0,6.1,0.18,0.96,1.22,82.7,1.0,ground,0.025524907369287773,0.40923033165018735,0.39005626017553063
jute,cosmetics,52.0,8.7,0.22,0.95,1.44,78.7,2.0,ground,0.0345821325648415,0.40338538166937754,0.44588534677441605
plastic,electronics,46.0,8.6,0.39,0.12,6.86,43.9,3.0,air,0.2577192260189379,0.0756655359780524,0.14593003285261918
paper,electronics,47.0,6.8,0.18,0.93,1.29,82.1,3.0,air,0.028406751749691234,0.458796334882774,0.40503474972155556
glass,food,79.0,14.9,0.44,0.02,14.3,78.7,1.0,ground,0.5640181144503912,0.2526789567171825,0.39194036612923566
plastic,pharmaceuticals,51.0,8.6,0.24,0.84,13.38,29.4,2.0,ground,0.5261424454508029,0.3368915910431362,0.2659798794825476
plastic,pharmaceuticals,46.0,7.8,0.25,0.21,7.28,28.8,2.0,ground,0.2750102923013586,0.25699652783992494,0.1305715956979878
glass,cosmetics,66.0,11.7,0.54,0.01,18.87,93.7,2.0,ground,0.7521613832853026,0.08504316311703915,0.29491470910218925
jute,pharmaceuticals,52.0,5.4,0.29,0.98,1.25,75.0,2.0,ground,0.02675998353231783,0.21535574041127303,0.395302281885918
paper,food,54.0,8.7,0.22,0.89,1.67,82.0,1.0,ground,0.04405104981473857,0.4253064863225108,0.44843355777279004
paper,electronics,31.0,4.8,0.2,0.87,0.9,93.6,3.0,air,0.012350761630300537,0.16970620987407156,0.32027257102492407
bamboo,pharmaceuticals,42.0,6.5,0.26,0.85,1.29,78.7,2.0,ground,0.028406751749691234,0.18788437508806857,0.35035371778604785
plastic,home,58.0,10.1,0.21,0.21,7.76,43.0,1.0,ground,0.29477151090983944,0.5200368050338549,0.24404988619052906
glass,home,79.0,14.1,0.58,0.02,20.21,88.3,1.0,ground,0.8073281185673117,0.12513962461986994,0.36628465703989366
bagasse,pharmaceuticals,37.0,5.2,0.16,0.96,1.06,88.9,2.0,ground,0.018937834499794158,0.3740648201354587,0.3623633362016415
bamboo,home,58.0,10.2,0.22,0.83,0.87,79.1,1.0,ground,0.011115685467270483,0.48558952411862727,0.4714133941003584
bamboo,cosmetics,62.0,10.0,0.34,0.89,1.48,78.6,2.0,ground,0.036228900782214905,0.24871346538493916,0.4857369250220028
paper,pharmaceuticals,50.0,7.5,0.21,0.93,1.1,92.3,2.0,ground,0.020584602717167565,0.3983225074476148,0.4471305035086792
plastic,electronics,49.0,8.6,0.2,0.13,17.49,50.7,3.0,air,0.69534787978592,0.43254013519571605,0.1451922229830737
metal,electronics,79.0,11.9,0.7,0.0,14.53,94.5,3.0,air,0.5734870317002881,0.051208153464766336,0.35989023185982694
bamboo,home,50.0,8.6,0.35,0.77,1.22,67.3,1.0,ground,0.025524907369287773,0.14180465304011416,0.3676962312502843
jute,home,44.0,8.0,0.19,0.98,1.49,68.8,1.0,ground,0.03664059283655825,0.3980200061020072,0.3892449632967223
glass,food,69.0,11.6,0.6,0.03,10.95,89.9,1.0,ground,0.4261012762453685,0.062001644369130304,0.3309714116801482
plastic,home,49.0,8.7,0.3,0.19,1.48,31.2,1.0,ground,0.036228900782214905,0.20185792171091602,0.17692395962975352
jute,food,38.0,7.1,0.26,1.0,1.59,62.9,1.0,ground,0.04075751337999177,0.15635168711321568,0.33728050032835477
paper,electronics,46.0,6.2,0.22,0.85,0.94,85.7,3.0,air,0.01399752984767394,0.31022068689356136,0.38249614366368684
jute,pharmaceuticals,51.0,7.5,0.28,0.97,1.51,77.0,2.0,ground,0.03746397694524496,0.24187430487811973,0.4211186080745733
paper,home,41.0,6.2,0.17,0.89,1.63,91.0,1.0,ground,0.042404281597365166,0.40757528604506016,0.38051313831250005
plastic,electronics,47.0,8.5,0.26,0.13,7.42,50.4,3.0,air,0.2807739810621655,0.2528046150362952,0.1715727127561705
paper,food,51.0,8.0,0.23,0.9,1.58,81.6,1.0,ground,0.04034582132564842,0.35663636551161815,0.42674167295954696
bamboo,electronics,47.0,9.2,0.3,0.89,0.92,79.0,3.0,air,0.013174145738987241,0.1898012995376717,0.41577955070593103
plastic,pharmaceuticals,61.0,8.8,0.4,0.1,7.3,44.0,2.0,ground,0.2758336764100453,0.1588563199388961,0.2075094316589559
plastic,home,70.0,9.5,0.39,0.16,11.08,25.5,1.0,ground,0.43145327295183206,0.2296194452313232,0.21515452849636052
plastic,cosmetics,77.0,10.9,0.32,0.18,11.42,49.7,2.0,ground,0.445450802799506,0.4004406740807719,0.32211817322537445
paper,food,38.0,5.4,0.18,0.85,0.89,78.7,1.0,ground,0.011939069575957187,0.3194756771479358,0.32562666973190685
paper,electronics,30.0,4.8,0.14,0.94,1.63,92.3,3.0,air,0.042404281597365166,0.3374639315563472,0.32865258621857196
glass,cosmetics,89.0,15.0,0.5,0.0,11.12,85.9,2.0,ground,0.4331000411692054,0.23963600659305392,0.4562851858075533
